,Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW,next_price,is_up
1999,2798,585.76,581.16,598.78,578.45,37561078,928.0645,34.5358,19.1447,35.6923,117.9223,280.8498,591.01,True
2000,2801,567.6,602.21,607.8,554.51,63003052,899.2923,33.4651,18.5512,34.5857,114.2664,272.1428,604.92,True
2001,2802,584.76,597.59,597.85,572.05,40382832,926.4802,34.4768,19.112,35.6313,117.7209,280.3704,625.505,True
2002,2803,568.82,556.44,571.54,541.21,47775653,901.2252,33.537,18.591,34.6601,114.512,272.7277,653.69,True
2003,2804,593.38,590.02,598.97,582.43,42552003,940.1375,34.985,19.3937,36.1566,119.4563,284.5033,574.37,False
2004,2805,599.04,591.01,599.04,585.5,29401314,949.1051,35.3187,19.5787,36.5015,120.5957,287.2171,615.01,True
2005,2808,641.76,604.92,648.786,603.05,56309709,1016.7896,37.8375,20.975,39.1045,129.1959,307.6997,619.0,True
2006,2809,649.88,625.505,651.28,618.5,64265029,1029.6548,38.3162,21.2404,39.5993,130.8306,311.5929,643.28,True
2007,2810,604.48,653.69,654.32,588.0,71291190,957.7241,35.6395,19.7565,36.833,121.6909,289.8253,628.23,False
2008,2811,627.07,574.37,627.75,566.34,67083153,993.5151,36.9714,20.4948,38.2094,126.2386,300.6564,628.19,True
2009,2812,609.99,615.01,624.0,596.8,46474974,966.454,35.9643,19.9366,37.1687,122.8001,292.4672,668.9,True
2010,2815,639.83,619.0,642.75,610.2,52040649,1013.7318,37.7237,20.9119,38.9869,128.8074,306.7743,666.24,True
2011,2816,633.25,643.28,646.9,623.8,45223559,1003.3066,37.3357,20.6968,38.586,127.4827,303.6195,648.0,True
2012,2817,622.77,628.23,632.5,605.0,42095813,986.7023,36.7178,20.3543,37.9474,125.3729,298.5947,632.2,True
2013,2818,655.9,628.19,658.82,619.5,56270144,1039.1927,38.6711,21.4371,39.9661,132.0425,314.4793,642.99,True
2014,2819,695.0,668.9,695.0,628.54,222126194,1101.1419,40.9764,22.715,42.3486,139.9139,333.2263,642.99,False
2015,2822,649.86,666.24,668.5,646.07,58045264,1029.6231,38.315,21.2397,39.5981,130.8265,311.5833,674.51,True
2016,2823,640.34,648.0,649.88,614.23,51861644,1014.5398,37.7537,20.9286,39.018,128.91,307.0189,661.0,True
2017,2824,645.98,632.2,651.5,622.57,33172972,1023.4757,38.0863,21.1129,39.3617,130.0454,309.723,672.0,True
2018,2825,661.77,642.99,666.09,641.0,22865568,1048.493,39.0172,21.629,40.3238,133.2242,317.2937,699.99,True
2019,2826,661.77,642.99,666.09,641.0,22865568,1048.493,39.0172,21.629,40.3238,133.2242,317.2937,699.99,True
2020,2829,663.69,674.51,681.4,660.8,32278561,1051.535,39.1304,21.6917,40.4408,133.6107,318.2143,719.46,True
2021,2830,665.99,661.0,669.9,655.0,22910811,1055.1791,39.266,21.7669,40.581,134.0738,319.3171,723.66,True
2022,2831,694.78,672.0,696.6,668.36,42846021,1100.7933,40.9635,22.7078,42.3352,139.8696,333.1208,758.49,True
2023,2832,705.67,699.99,718.72,691.12,49649928,954.401,30.4811,20.9462,31.2114,138.2918,241.3073,777.63,True
2024,2833,705.67,699.99,718.72,691.12,49649928,954.401,30.4811,20.9462,31.2114,138.2918,241.3073,856.0,True
2025,2836,729.77,719.46,744.49,717.189,48638189,986.9957,31.5221,21.6616,32.2773,143.0148,249.5484,849.4,True
2026,2837,735.11,723.66,740.84,719.2,32245165,994.2179,31.7528,21.8201,32.5135,144.0613,251.3744,831.0,True
2027,2838,755.98,758.49,774.0,749.1,44699965,1022.444,32.6543,22.4396,33.4366,148.1512,258.511,852.76,True
2028,2839,816.04,777.63,816.99,775.2,51498948,1103.6737,35.2485,24.2223,36.093,159.9213,279.0489,843.39,True
2029,2840,880.02,856.0,884.49,838.39,75055528,1190.205,38.0121,26.1214,38.9228,172.4596,300.9271,852.0,False
2030,2843,811.19,849.4,854.43,803.622,59554146,1097.1142,35.039,24.0783,35.8785,158.9709,277.3904,852.0,True
2031,2844,849.44,831.0,868.0,827.34,46270720,1148.8464,36.6912,25.2137,37.5703,166.4668,290.4701,837.8,True
2032,2845,854.41,852.76,860.47,832.0,33312496,1155.5682,36.9059,25.3612,37.7901,167.4408,292.1697,858.74,True
2033,2846,845.0,843.39,863.0,838.75,31266327,1142.8414,36.4994,25.0819,37.3739,165.5967,288.9519,855.0,True
2034,2847,826.16,852.0,859.9,819.1,38777596,1117.3607,35.6857,24.5227,36.5406,161.9046,282.5094,834.31,False
2035,2850,826.16,852.0,859.9,819.1,38777596,1117.3607,35.6857,24.5227,36.5406,161.9046,282.5094,855.0,True
2036,2851,844.55,837.8,850.0,833.0,25366980,1142.2328,36.48,25.0686,37.354,165.5085,288.798,891.38,True
2037,2852,850.45,858.74,859.5,837.28,25665883,1150.2124,36.7348,25.2437,37.6149,166.6647,290.8155,870.35,True
2038,2853,844.99,855.0,855.72,841.42,20598133,1142.8278,36.499,25.0816,37.3734,165.5947,288.9484,820.0,False
2039,2854,846.64,834.31,848.0,828.62,20066497,1145.0594,36.5703,25.1306,37.4464,165.9181,289.5127,830.0,False
2040,2857,880.8,855.0,900.4,838.82,41173397,1191.26,38.0458,26.1446,38.9573,172.6125,301.1939,814.29,False
2041,2858,883.09,891.38,895.9,871.6,23131603,1194.3571,38.1447,26.2125,39.0586,173.0613,301.9769,844.68,False
2042,2859,864.16,870.35,891.5,858.66,27333955,1168.7548,37.327,25.6506,38.2213,169.3515,295.5037,877.02,True
2043,2860,835.43,820.0,848.0,801.0,26378048,1129.8982,36.0861,24.7979,36.9506,163.7212,285.6794,855.0,True
2044,2861,793.53,830.0,842.41,780.1,34990754,1073.2295,34.2762,23.5541,35.0974,155.51,271.3515,845.0,True
2045,2864,839.81,814.29,842.0,795.56,25391385,1135.822,36.2753,24.9279,37.1443,164.5796,287.1771,869.67,True
2046,2865,872.79,844.68,880.5,842.201,24346213,1180.4267,37.6998,25.9068,38.603,171.0428,298.4548,855.12,True
2047,2866,854.69,877.02,878.08,853.065,18343510,1155.9469,36.918,25.3695,37.8025,167.4957,292.2654,843.635,False
2048,2867,849.99,855.0,856.5,833.42,15812661,1149.5902,36.715,25.23,37.5946,166.5746,290.6582,812.44,False
2049,2868,852.23,845.0,864.77,838.97,18566637,1152.6198,36.8117,25.2965,37.6937,167.0136,291.4242,801.26,False
2050,2871,863.42,869.67,877.77,854.75,20161719,1167.754,37.2951,25.6287,38.1886,169.2065,295.2507,801.26,False
2051,2872,849.46,855.12,859.8,841.75,15157651,1148.8734,36.6921,25.2143,37.5711,166.4707,290.477,818.0,False
2052,2873,804.82,843.635,844.82,800.02,36216090,1088.4989,34.7639,23.8893,35.5967,157.7225,275.2121,779.09,False
2053,2874,811.66,812.44,829.88,801.725,21622753,1097.7499,35.0593,24.0923,35.8993,159.063,277.5511,780.9,False
2054,2875,816.12,801.26,817.33,785.331,23768313,1103.7819,35.252,24.2247,36.0965,159.937,279.0762,795.0,False
2055,2878,816.12,801.26,817.33,785.331,23768313,1103.7819,35.252,24.2247,36.0965,159.937,279.0762,762.64,False
2056,2879,796.22,818.0,821.0,792.44,19802324,1076.8676,34.3924,23.634,35.2164,156.0371,272.2713,662.13,False
2057,2880,798.15,779.09,799.84,762.01,26078898,1079.4779,34.4758,23.6913,35.3017,156.4154,272.9313,711.85,False
2058,2881,787.38,780.9,794.69,776.27,17957058,1064.9118,34.0106,23.3716,34.8254,154.3048,269.2484,726.15,False
2059,2882,781.3,795.0,796.79,777.37,18958255,1056.6887,33.7479,23.1911,34.5565,153.1132,267.1693,700.0,False
2060,2885,714.5,762.64,768.5,710.2,37269716,966.3434,30.8625,21.2083,31.6019,140.0223,244.3268,690.11,False
2061,2886,698.84,662.13,713.61,619.0,66606882,945.1636,30.1861,20.7435,30.9093,136.9534,238.9717,718.28,True
2062,2887,742.02,711.85,745.0,694.17,36766950,1003.5635,32.0513,22.0252,32.8191,145.4154,253.7374,687.99,False
2063,2888,682.22,726.15,737.207,670.58,39023855,922.6855,29.4682,20.2502,30.1742,133.6963,233.2885,655.8,False
2064,2889,675.5,700.0,706.7,659.51,41089173,913.5969,29.178,20.0507,29.877,132.3794,230.9905,626.06,False
2065,2892,718.43,690.11,872.0,685.05,27136239,971.6586,31.0323,21.325,31.7758,140.7925,245.6706,600.55,False
2066,2893,686.44,718.28,721.11,685.0,23732158,928.3929,29.6505,20.3754,30.3609,134.5233,234.7315,608.18,False
2067,2894,653.2,687.99,700.7,651.705,30207960,883.4367,28.2147,19.3888,28.8907,128.0092,223.3649,700.3,True
2068,2895,621.44,655.8,873.94,600.0,65919530,840.4821,26.8429,18.446,27.4859,121.7851,212.5044,699.4,True
2069,2896,597.95,626.06,627.842,539.49,89396459,808.7124,25.8282,17.7488,26.447,117.1817,204.4719,670.0,True
2070,2899,563.0,600.55,620.125,558.79,51786958,761.4434,24.3186,16.7114,24.9012,110.3325,192.5206,694.09,True
2071,2900,673.58,608.18,678.09,595.21,67523328,911.0001,29.095,19.9937,29.7921,132.0031,230.334,703.35,True
2072,2901,668.06,700.3,717.85,655.06,60605672,903.5344,28.8566,19.8299,29.5479,130.9213,228.4464,656.87,False
2073,2902,699.6,699.4,702.5,677.18,36253892,946.1915,30.2189,20.766,30.9429,137.1023,239.2316,684.29,False
2074,2903,693.73,670.0,694.88,666.139,33583840,938.2525,29.9654,20.5918,30.6833,135.9519,237.2244,646.6,False
2075,2906,707.94,694.09,713.18,684.04,29423479,957.4712,30.5792,21.0136,31.3118,138.7367,242.0835,684.59,False
2076,2907,676.88,703.35,707.92,671.0,32195672,915.4633,29.2376,20.0917,29.938,132.6498,231.4624,675.77,False
2077,2908,701.81,656.87,703.73,651.01,40372453,949.1805,30.3144,20.8316,31.0407,137.5354,239.9874,667.91,True
2078,2909,653.16,684.29,689.23,652.0,33369022,883.3826,28.213,19.3876,28.8889,128.0013,223.3512,613.0,False
2079,2910,654.87,646.6,657.23,624.62,42893978,885.6953,28.2868,19.4383,28.9645,128.3364,223.936,641.87,False
2080,2913,670.0,684.59,699.62,668.75,39512221,906.1582,28.9404,19.8874,29.6337,131.3015,229.1098,615.64,False
2081,2914,662.16,675.77,677.8,657.51,30491870,895.5548,28.6017,19.6547,29.287,129.7651,226.4288,601.75,False
2082,2915,630.27,667.91,668.02,630.11,33795174,852.4244,27.2243,18.7081,27.8765,123.5155,215.5239,646.62,False
2083,2916,640.39,613.0,645.5,609.5,39224850,866.1115,27.6614,19.0085,28.3241,125.4988,218.9845,688.37,True
2084,2917,618.71,641.87,643.82,599.89,33852827,836.7898,26.7249,18.365,27.3652,121.2501,211.5709,688.37,True
2085,2920,611.29,615.64,616.48,596.02,28636985,826.7544,26.4044,18.1448,27.037,119.796,209.0336,707.71,True
2086,2921,635.62,601.75,637.66,591.01,39432359,859.6602,27.4554,18.8669,28.1131,124.564,217.3534,690.3,True
2087,2922,667.93,646.62,672.0,641.11,33337288,643.8479,27.9453,17.596,30.3676,127.1952,158.7514,687.0,True
2088,2923,661.75,688.37,692.42,659.42,35298378,637.8907,27.6867,17.4332,30.0866,126.0183,157.2826,677.38,False
2089,2924,661.75,688.37,692.42,659.42,35298378,637.8907,27.6867,17.4332,30.0866,126.0183,157.2826,677.77,False
2090,2927,691.05,707.71,708.16,684.7,41842767,666.1343,28.9126,18.2051,31.4188,131.598,164.2465,685.7,False
2091,2928,691.62,690.3,696.55,681.37,28271839,666.6838,28.9364,18.2201,31.4447,131.7065,164.382,712.7,True
2092,2929,670.97,687.0,691.38,667.84,26309433,646.7783,28.0725,17.6761,30.5058,127.7741,159.474,770.7,True
2093,2930,683.8,677.38,689.55,671.645,23924329,659.1457,28.6093,18.0141,31.0892,130.2174,162.5234,743.1,True
2094,2931,677.02,677.77,680.97,669.43,21437087,652.6102,28.3256,17.8354,30.7809,128.9262,160.9119,728.65,True
2095,2934,701.98,685.7,704.8,682.09,29135670,676.6702,29.3699,18.493,31.9157,133.6794,166.8443,719.6,True
2096,2935,762.32,712.7,763.0,710.66,44652808,734.8347,31.8944,20.0826,34.6591,145.1701,181.1857,717.42,True
2097,2936,732.23,770.7,780.79,728.03,49017434,705.8296,30.6355,19.2899,33.291,139.44,174.034,704.77,False
2098,2937,738.85,743.1,743.69,721.31,27848900,712.2109,30.9125,19.4643,33.592,140.7006,175.6075,741.5,False
2099,2938,739.78,728.65,749.41,724.6,27979526,713.1074,30.9514,19.4888,33.6343,140.8777,175.8285,719.8,False
2100,2941,714.63,719.6,725.4,691.8,39686226,688.8641,29.8991,18.8262,32.4908,136.0884,169.8509,741.0,True
