,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
912,912,122.03,124.22,121.54,124.61,19460768,44.0496,6.6156,14.3504,10.7418,27.8944,35.092
913,913,121.5,123.18,120.51,123.81,31916020,43.6809,6.5602,14.2303,10.6518,27.6609,34.7982
914,914,123.93,120.8,115.27,124.18,67846704,42.8369,6.4334,13.9553,10.446,27.1264,34.1258
915,915,119.53,119.02,118.15,120.7,32840137,42.2057,6.3386,13.7497,10.2921,26.7267,33.623
916,916,119.126,115.08,113.554,119.126,51377040,40.8085,6.1288,13.2945,9.9514,25.842,32.5099
917,917,116.73,117.2,115.83,118.49,34681369,41.5603,6.2417,13.5394,10.1347,26.318,33.1088
918,918,114.48,116.34,114.21,117.88,32397947,41.2553,6.1959,13.4401,10.0604,26.1249,32.8659
919,919,116.81,117.79,116.01,117.79,18597766,41.7695,6.2731,13.6076,10.1858,26.4505,33.2755
920,920,118.39,117.02,116.84,119.13,22879303,41.4965,6.2321,13.5187,10.1192,26.2776,33.058
921,921,118.2,121.77,117.8,121.95,35415366,43.1809,6.4851,14.0674,10.5299,27.3443,34.3999
922,922,122.4,121.47,120.9,122.98,26089163,43.0745,6.4691,14.0327,10.504,27.2769,34.3151
923,923,121.23,120.84,119.94,121.31,15672136,42.8511,6.4356,13.96,10.4495,27.1354,34.1371
924,924,121.01,120.38,120.07,121.14,8658605,42.6879,6.4111,13.9068,10.4097,27.0321,34.0072
925,925,120.12,120.41,119.82,121.69,18101314,42.6986,6.4127,13.9103,10.4123,27.0389,34.0157
926,926,120.57,120.87,120.4,122.1,18890956,42.8617,6.4372,13.9634,10.4521,27.1422,34.1456
927,927,120.32,118.42,117.95,121.79,30188922,41.9929,6.3067,13.6804,10.2402,26.592,33.4535
928,928,118.38,115.1,114,118.45,43276994,40.8156,6.1299,13.2968,9.9531,25.8465,32.5156
929,929,115.11,115.4,114.3,116.48,25070364,40.922,6.1459,13.3315,9.9791,25.9138,32.6003
930,930,115.95,117.43,115.07,117.57,20201528,41.6418,6.254,13.566,10.1546,26.3697,33.1738
931,931,117.69,117.31,116.33,117.795,19131202,41.5993,6.2476,13.5522,10.1442,26.3427,33.1399
932,932,117,117.95,116.57,117.95,21913658,41.8262,6.2817,13.6261,10.1996,26.4865,33.3207
933,933,117.98,118.91,117.64,119.5,22442756,42.1667,6.3328,13.737,10.2826,26.701999999999998,33.5919
934,934,119.22,119.68,118.95,119.94,17464736,42.4397,6.3738,13.8259,10.3492,26.8749,33.8094
935,935,119.22,117.77,117.65,119.24,17805527,41.7624,6.2721,13.6053,10.184,26.446,33.2699
936,936,117.86,120.31,117.61,121.52,29768028,42.6631,6.4073,13.8987,10.4037,27.0164,33.9874
937,937,120,120.21,118.85,121.69,25913095,42.6277,6.402,13.8872,10.395,26.994,33.9592
938,938,120.08,120.57,119.63,122.5,20139568,42.7553,6.4212,13.9288,10.4262,27.0748,34.0609
939,939,120.9,119.87,119.27,121.5,25324299,42.5071,6.3839,13.8479,10.3656,26.9176,33.8631
940,940,119.85,119.24,118.51,120.36,15918146,42.2837,6.3504,13.7751,10.3111,26.7761,33.6851
941,941,119.5,119.09,118.8,119.77,13684402,42.2305,6.3424,13.7578,10.2982,26.7425,33.6428
942,942,118.92,119.04,118.48,119.2,10767646,42.2128,6.3397,13.752,10.2938,26.7312,33.6286
943,943,118.86,117.4,116.93,118.99,16258587,41.6312,6.2524,13.5626,10.152,26.363,33.1653
944,944,117,117.27,116.3,117.56,10889985,41.5851,6.2454,13.5475,10.1408,26.3338,33.1286
945,945,116.96,118.01,116.864,118.68,12051481,41.8475,6.2849,13.633,10.2048,26.4999,33.3377
